name,lat,lng,country,rating
Yacht Club,16.2354916,-61.5359001,Guadeloupe,4.2
The Head O The Road,54.4661762,-6.5440269,United Kingdom,4.8
Joy Storm Pub,-30.1079083,-51.2480898,Brazil,4.6
Fiddles Pub,36.2434632,-80.85305389999999,USA,4.3
Bature Brewery,9.0743792,7.4751035,Nigeria,4.7
Irish Pub Dublin,43.5879519,20.2238415,Serbia,0
Anna Casparii,53.1761357,5.417839799999999,Netherlands,4.5
The Masons Arms,53.6991991,-2.2482187,United Kingdom,4.2
Druids Chair Pub & Restaurant,53.525976,-7.3388871,Ireland,3.9
The BrewHouse,33.4954619,-117.6608452,USA,4.7
Irish Bred Pub,33.6596082,-84.4281044,USA,3.8
Half Moon Bay Brewing Company,37.5040819,-122.4855687,USA,4.2
Pat's Pub Inc,40.46024,-74.3443693,USA,3.3
The Broadway 50 50,29.4728875,-98.46244870000001,USA,4.4
Microphone Hero,8.4880283,124.6507046,Philippines,4.1
Baguette De France,41.9525624,-86.34904379999999,USA,4.6
Half Keg,41.3670844,-72.12450729999999,USA,4.7
Cracker Barrel Old Country Store,40.6990631,-111.9502929,USA,4.3
Parish Publick House,36.9612012,-122.0437771,USA,4.4
Tribu's Pub e Bar,-27.0917757,-52.6209518,Brazil,4.7
"Lime Tree An Ealdhain Restaurant, Hotel & Gallery",56.8146903,-5.1164089,United Kingdom,4.2
Dubliners,43.583599,1.450625,France,4.4
O'Connell's Irish Pub,32.0789086,-81.09056679999999,USA,4.6
Autoporma Chill Corner,8.4702818,124.6448242,Philippines,4.3
Willamette Ale & Cider House,45.3440732,-122.6567133,USA,4.5
Logan's Roadhouse,32.400571,-90.14800699999999,USA,3.1
Flanagan's Irish Bar,-36.3788277,145.3995566,Australia,4.1
St James's Gate Irish Pub,51.1782967,-115.5717462,Canada,4.4
Bjz,2.7798615,32.3030449,Uganda,3.8
Wally Wheelz Inn,42.6382004,-88.6282789,USA,4.4
Skálinn Diner,65.2608346,-14.3976266,Iceland,4.1
EireLux shop and Irish Pub Howald,49.5781431,6.1370622,Luxembourg,4.4
BBQ'd Productions,42.3582702,-88.0007361,USA,4.5
Gators Bar & Grill,41.419715,-87.2265583,USA,4.3
The Black Horse Boldon,54.9432635,-1.4544477,United Kingdom,4.6
Tresor,50.7393753,7.0949003,Germany,4.7
OMG Lounge Bar,15.3693304,75.11893069999999,India,4.1
Crabbys Oyster Bar,27.2435426,-80.22761369999999,USA,4.7
Di's Bar & Grill,34.2157894,-92.0435747,USA,4.4
SWEETS LOUNGE INC,30.4133759,-88.8352968,USA,4.6
Kehoes Pub,52.4035974,-7.5386396,Ireland,4.3
The Bierkeller,51.2728934,0.521288,United Kingdom,4.3
King William,52.5007773,-2.1117936,United Kingdom,4.1
Fossil Wine Bar,35.4892856,-120.669498,USA,5
McEnaney's,54.58422789999999,-5.978978199999999,United Kingdom,4.3
Wayside Pub,29.0412849,-95.4496806,USA,4.4
Gigg's Irish Pub,47.2180242,-1.5517137,France,4.4
The Brass Tap - Round Rock,30.5090977,-97.6775151,USA,4.5
JAMÓN DEL MEDIO,-26.070396,-65.9747246,Argentina,4.1
Trap Rock Restaurant & Brewery,40.6890331,-74.4347897,USA,4.2
The Lumber Yard Bar,47.5166903,-122.355345,USA,4.5
Hawkeyes Restaurant and Bar,48.006113,-122.1062805,USA,4.1
Texas Billiards,32.8615353,-97.2395817,USA,4.1
